-0.8202826,5,2,1
0.39291325,4,1,0
0.68805599,2,2,0
0.1424952,4,3,0
-0.15974919,1,3,0
0.87158529,4,2,0
0.23012899,3,2,1
2.13584976,3,2,1
-0.06540639,2,1,0
0.30006168,2,2,0
-1.02956173,5,2,1
-2.43376068,2,2,0
1.30445157,5,2,1
0.09363294,2,1,0
1.59775007,3,2,1
1.01093682,2,1,0
1.13223604,2,2,0
0.31806188,4,2,0
0.75727961,2,1,0
0.33433685,4,1,0
1.4427259,5,2,1
4.74760223,1,2,0
0.4644044,2,2,0
-0.52965805,2,2,0
-0.08495125,5,1,1
1.5258618,2,2,0
-0.09074446,2,3,0
-1.36171997,3,3,1
0.72709297,5,1,1
1.14386252,5,2,1
-3.73783471,3,1,1
-4.73077842,5,2,1
0.49181412,5,1,1
1.61188739,4,3,0
0.78182956,2,2,0
1.23360131,3,3,1
0.605185,2,2,0
-0.55790064,4,3,0
-0.56506458,5,1,1
-0.46908602,3,3,1
0.04409171,2,1,0
-0.24743986,1,2,0
-0.80486388,3,2,1
0.39338846,2,3,0
-1.08979616,3,1,1
1.03294347,4,2,0
-1.02926603,3,2,1
-1.39974763,3,3,1
-0.62427059,4,1,0
3.65908099,2,2,0
-0.22731017,5,2,1
1.27563444,2,2,0
1.4936732,3,2,1
-0.02799448,2,2,0
-0.40886475,2,1,0
-0.01784667,2,1,0
1.71838149,3,1,1
-0.18088201,2,2,0
1.00075927,5,1,1
-0.3800116,2,2,0
0.40010068,2,2,0
-0.44471818,5,2,1
-0.06007317,3,2,1
-0.21031371,1,3,0
-33.21928095,3,1,1
-1.87175493,3,3,1
0.47674241,2,1,0
-1.4150375,3,3,1
-1.32333835,3,3,1
-0.18383423,3,3,1
-0.04020948,4,1,0
-0.31933607,2,2,0
-0.40938117,5,2,1
-1.72454655,3,1,1
0,4,2,0
0.77959856,2,2,0
-4.30214434,2,3,0
0.15145003,2,1,0
1.18426942,2,1,0
0.30706275,3,1,1
-0.83350561,5,1,1
0.42451808,5,1,1
0.169277,2,3,0
-1.39160238,3,1,1
-0.11952546,3,2,1
0.0083603,2,1,0
1.25990325,5,1,1
0,4,2,0
1.03809801,5,1,1
-0.49501336,2,1,0
3.45930666,3,2,1
0.10868028,5,2,1
-33.21928095,3,3,1
0.10357389,5,1,1
-1.25050503,2,2,0
-0.69392823,4,2,0
-2.78837913,3,3,1
-2.93994296,2,2,0
-5.28842568,3,3,1
-0.01838317,3,2,1
0.21173321,2,2,0
-0.89837004,2,1,0
0.05650766,5,1,1
0.34279239,3,1,1
-0.38534428,2,2,0
-1.11579961,2,3,0
0.23855581,4,2,0
1.857981,5,1,1
2.71859461,5,1,1
-0.44407748,2,3,0
0.15155845,3,2,1
0.86059694,3,1,1
-0.80142289,2,1,0
-2.61503778,2,3,0
0.1144848,2,2,0
1.30057304,2,2,0
-3.67914211,4,2,0
0.67999717,3,2,1
2.69984652,3,1,1
1.40417138,3,2,1
0.45481085,3,1,1
0.25447968,1,3,0
3.10696626,2,1,0
3.99977228,3,1,1
0.11713232,5,2,1
-33.21928095,3,3,1
-0.0453691,2,2,0
0.01137157,4,3,0
0.84546119,2,1,0
-2.00699014,5,2,1
-1.01112326,3,3,1
3.17152837,2,1,0
3.54627605,5,1,1
-0.17093944,3,3,1
0.91713339,2,1,0
-1.43043754,2,2,0
-0.16265575,4,2,0
1.58790584,2,1,0
-1.12807885,2,2,0
0.85821223,4,1,0
0.83562587,2,3,0
0.4131316,3,2,1
-0.2641392,3,2,1
0.74071705,3,3,1
0.43506039,3,3,1
-1.07090307,3,1,1
-0.52863374,2,2,0
-0.57648888,3,3,1
0.30815057,5,1,1
0.18855419,5,1,1
-0.75284491,5,1,1
-33.21928095,4,2,0
-1.32618035,5,1,1
0.45862221,2,2,0
-0.44274708,5,1,1
-2.12665943,3,2,1
-1.04892549,3,2,1
1.48819518,3,2,1
-0.17160362,4,3,0
0.21206412,3,1,1
-1.63565649,2,2,0
-0.53456614,3,3,1
0.02971139,3,2,1
-2.31398479,3,2,1
0.19025786,2,2,0
0.917266,4,3,0
-0.10794666,3,3,1
-0.21943656,1,3,0
0.55000977,3,2,1
2.60768258,2,2,0
-0.0030939,5,2,1
0.7564107,3,2,1
1.64446351,2,2,0
0.10380825,4,1,0
-1.25198657,3,2,1
0,4,2,0
0.78825075,2,1,0
-0.57725589,2,2,0
-0.12132033,4,1,0
1.06188244,3,3,1
2.21688204,2,2,0
-0.10801413,5,1,1
-1.17473052,5,1,1
-3.78121317,3,1,1
0.5447489,3,1,1
0.97961973,2,2,0
-1.46243139,2,2,0
0.37508384,3,3,1
5.26560835,2,2,0
-0.33080637,3,1,1
0.76724686,4,2,0
0.03600694,4,3,0
0.2198677,3,2,1
-0.57387086,5,1,1
